"Timestamp,Email Address,Nama,Jenis Kelamain?,Usia?,Pendidikan terakhir?,Pekerjaan?,Pendapatan/Uang Saku per bulan?,Apakah anda memiliki akun Tokopedia aktif dan pernah melakukan transaksi di Tokopedia minimal satu kali?,Samsung Store di Tokopedia menyediakan tampilan toko yang rapi dan menarik (bukti fisik/tampilan visual).,Informasi produk Samsung yang ditampilkan di Tokopedia akurat dan dapat diandalkan.,Samsung Store di Tokopedia merespons pertanyaan dan keluhan saya dengan cepat.,""Saya merasa aman berbelanja produk Samsung melalui Tokopedia (jaminan, garansi resmi)."",Samsung Store di Tokopedia memahami kebutuhan dan preferensi saya sebagai konsumen.,Produk Samsung yang dijual di Tokopedia memiliki performa/kinerja yang baik sesuai spesifikasi yang tertera.,""\nProduk Samsung di Tokopedia dilengkapi fitur-fitur yang lengkap dan inovatif."",Produk Samsung yang saya terima dari Tokopedia sesuai dengan deskripsi dan gambar yang ditampilkan.,Produk Samsung memiliki daya tahan (durabilitas) yang baik berdasarkan informasi dan ulasan yang saya baca.,""Secara keseluruhan, saya menilai kualitas produk Samsung yang dijual di Tokopedia sudah baik."",Saya membaca ulasan produk Samsung di Tokopedia dari konsumen lain untuk mengetahui kesan dan pengalaman mereka.,""Untuk memastikan saya membeli produk Samsung yang tepat, saya membaca ulasan konsumen lain di Tokopedia secara online."",Saya mencari rekomendasi dari komunitas online atau forum sebelum membeli produk Samsung di Tokopedia.,Saya berminat untuk mencoba/membeli produk Samsung dari Tokopedia dalam waktu dekat.,Saya akan mempertimbangkan untuk membeli produk Samsung di Tokopedia jika rating dan ulasannya bagus.,Saya berencana untuk melakukan pembelian produk Samsung melalui Samsung Store di Tokopedia di masa mendatang."
2026-07-12 09:01:12,budi.santoso@gmail.com,Budi,Laki - laki,20-30 tahun,S1,Karyawan Swasta,Rp 2.000.000 – Rp 5.000.000,Pernah,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Netral
2026-07-12 09:02:45,siti.aminah@yahoo.com,Siti,Perempuan,20-30 tahun,S1,Wirausaha,Rp 2.000.000 – Rp 5.000.000,Pernah,Netral,Setuju,Netral,Setuju,Sangat Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju
2026-07-12 09:05:22,andi.wijaya@gmail.com,Andi,Laki - laki,31-40 tahun,S1,Karyawan Swasta,> Rp 5.000.000,Pernah,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Netral,Setuju,Sangat Setuju,Sangat Setuju
2026-07-12 09:07:11,rere.lestari@gmail.com,Rere,Perempuan,20-30 tahun,D3,Mahasiswa/Pelajar,< Rp 2.000.000,Pernah,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Netral,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Netral
2026-07-12 09:10:01,doni.krist@gmail.com,Doni,Laki - laki,20-30 tahun,S1,Wirausaha,Rp 2.000.000 – Rp 5.000.000,Pernah,Setuju,Netral,Tidak Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Netral,Netral,Setuju,Setuju
2026-07-12 09:12:34,mega.purnama@gmail.com,Mega,Perempuan,31-40 tahun,S1,Karyawan Swasta,> Rp 5.000.000,Pernah,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
2026-07-12 09:15:50,eko.prasetyo@gmail.com,Eko,Laki - laki,20-30 tahun,SMA/SMK,Mahasiswa/Pelajar,< Rp 2.000.000,Pernah,Netral,Setuju,Setuju,Setuju,Netral,Setuju,Netral,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Netral
2026-07-12 09:18:21,dewi.sari@yahoo.com,Dewi,Perempuan,20-30 tahun,S1,Karyawan Swasta,Rp 2.000.000 – Rp 5.000.000,Pernah,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju
2026-07-12 09:20:05,fajar.hidayat@gmail.com,Fajar,Laki - laki,31-40 tahun,S1,Wirausaha,> Rp 5.000.000,Pernah,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Tidak Setuju,Setuju,Setuju,Setuju
2026-07-12 09:22:40,gita.gutawa@gmail.com,Gita,Perempuan,20-30 tahun,S1,Mahasiswa/Pelajar,Rp 2.000.000 – Rp 5.000.000,Pernah,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
2026-07-12 09:25:15,hendra.k@gmail.com,Hendra,Laki - laki,41-50 tahun,S2,Karyawan Swasta,> Rp 5.000.000,Pernah,Setuju,Setuju,Setuju,Sangat Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju
2026-07-12 09:28:02,indah.permata@gmail.com,Indah,Perempuan,20-30 tahun,S1,Karyawan Swasta,Rp 2.000.000 – Rp 5.000.000,Pernah,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Netral,Setuju,Sangat Setuju,Netral
2026-07-12 09:30:44,joko.w@gmail.com,Joko,Laki - laki,31-40 tahun,S1,Wirausaha,Rp 2.000.000 – Rp 5.000.000,Pernah,Netral,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Netral
2026-07-12 09:33:19,kartika.s@gmail.com,Kartika,Perempuan,20-30 tahun,D3,Karyawan Swasta,Rp 2.000.000 – Rp 5.000.000,Pernah,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
2026-07-12 09:35:55,lukman.hakim@gmail.com,Lukman,Laki - laki,20-30 tahun,SMA/SMK,Mahasiswa/Pelajar,< Rp 2.000.000,Pernah,Tidak Setuju,Netral,Setuju,Netral,Tidak Setuju,Setuju,Netral,Netral,Setuju,Netral,Setuju,Setuju,Sangat Setuju,Netral,Setuju,Tidak Setuju
